Ad clicked Date,Ad Title/Id
2025/12/06 02:19:30 UTC,976944946
2024/06/11 18:45:19 UTC,455681926
2025/12/06 02:19:32 UTC,976944946
2024/12/31 09:55:28 UTC,549601244
2025/04/17 15:11:46 UTC,192280376
2024/06/04 17:17:09 UTC,423707643
2025/01/17 20:27:18 UTC,561909774
2024/09/03 03:29:16 UTC,466676574
2025/01/17 20:27:21 UTC,561909774
2024/09/03 03:29:16 UTC,466676574
2025/01/17 20:27:23 UTC,561909774
2024/09/03 03:29:16 UTC,466676574
2025/01/17 20:27:23 UTC,561909774
2024/09/03 03:29:16 UTC,466676574
2025/01/17 20:27:23 UTC,561909774
2024/09/03 03:29:17 UTC,466676574
2025/01/17 20:27:23 UTC,561909774
2024/09/03 03:29:17 UTC,466676574
2025/01/17 20:27:25 UTC,561909774
2024/09/03 03:29:18 UTC,466676574
2025/01/17 20:27:25 UTC,561909774
2024/09/03 03:29:23 UTC,466676574
2025/01/17 20:27:26 UTC,561909774
2024/09/03 03:29:23 UTC,466676574
2025/01/17 20:27:27 UTC,561909774
2024/09/03 03:29:23 UTC,466676574
2025/01/17 20:27:27 UTC,561909774
2024/09/03 03:29:23 UTC,466676574
2025/01/17 20:27:28 UTC,561909774
2024/09/03 03:29:29 UTC,466676574
2025/01/17 20:27:31 UTC,561909774
2024/09/03 03:29:30 UTC,466676574
2025/01/17 20:27:35 UTC,561909774
2024/09/03 03:29:30 UTC,466676574
2025/01/17 20:27:36 UTC,561909774
2024/09/03 03:29:30 UTC,466676574
2025/01/30 16:40:07 UTC,497194466
2024/09/03 03:29:40 UTC,466676574
2024/08/10 22:46:51 UTC,247415803
2024/11/09 11:06:54 UTC,528142013
2024/08/10 11:56:14 UTC,145111864
2025/11/16 09:02:04 UTC,239156346
2024/08/13 13:59:30 UTC,491914456
2025/11/16 09:03:02 UTC,239156346
2024/09/18 19:43:05 UTC,145111864
2025/01/18 15:49:19 UTC,572078463
2024/09/18 10:01:46 UTC,463108584
2025/01/29 17:56:29 UTC,520868084
2024/09/18 10:01:51 UTC,463108584
2026/03/11 06:09:53 UTC,1228513204
2025/09/28 13:02:46 UTC,813607423
2025/01/15 15:34:08 UTC,572078463
2026/03/16 05:55:51 UTC,1163986723
2025/02/26 11:30:02 UTC,192297566
2024/07/03 19:55:52 UTC,445241963
2025/06/10 11:08:40 UTC,427864244
2026/01/15 09:34:01 UTC,1081800964
2025/11/23 23:51:07 UTC,145111864
2026/01/15 09:28:16 UTC,1081800964
2025/01/04 11:49:31 UTC,145111864
2026/01/15 09:28:18 UTC,1081800964
2025/01/03 12:31:45 UTC,563818523
2024/07/05 10:54:59 UTC,457139206
2026/03/05 10:12:34 UTC,145111864
2024/12/24 14:24:10 UTC,145111864
2026/03/10 06:57:42 UTC,1150313254
2025/04/16 07:15:10 UTC,145111864
2024/10/25 08:04:08 UTC,506807526
2024/07/15 18:32:28 UTC,145111864
2025/12/12 20:09:57 UTC,914139644
2026/02/25 08:14:36 UTC,1144493434
2025/04/30 21:39:53 UTC,664070093
2026/02/25 08:14:45 UTC,1144493434
2026/03/14 07:35:47 UTC,1163986723
2026/02/25 08:14:47 UTC,1144493434
2026/03/14 10:18:38 UTC,145111864
2026/02/25 08:14:50 UTC,1144493434
2025/07/26 08:02:59 UTC,730851683
2026/02/25 08:15:05 UTC,1144493434
2025/07/26 08:03:12 UTC,730851683
2026/02/25 08:15:08 UTC,1144493434
2025/07/26 08:03:45 UTC,730851683
2024/12/19 09:21:24 UTC,531179823
2025/11/30 12:44:43 UTC,394534964
2024/12/19 09:21:26 UTC,531179823
2025/12/14 19:16:28 UTC,145111864
2024/12/19 09:21:26 UTC,531179823
2024/07/26 13:26:58 UTC,350963984
2024/12/19 09:21:26 UTC,531179823
2025/06/23 08:24:14 UTC,574214676
2025/02/12 12:26:55 UTC,576147484
2024/06/18 08:54:24 UTC,398830844
2025/02/12 12:26:57 UTC,576147484
2026/03/18 10:42:28 UTC,749615526
2025/02/12 12:26:58 UTC,576147484
2024/11/25 12:30:33 UTC,528142013
2025/02/12 12:26:58 UTC,576147484
2025/07/11 18:19:05 UTC,700056274
2025/02/12 12:27:00 UTC,576147484
2025/09/07 10:01:21 UTC,743082514
2025/02/12 12:27:01 UTC,576147484
2024/07/06 12:45:41 UTC,312028496
2025/01/23 09:05:10 UTC,145111864
2024/07/06 12:45:42 UTC,312028496
2026/01/19 04:30:40 UTC,1081800964
2024/07/06 12:45:43 UTC,312028496
2026/01/19 04:30:41 UTC,1081800964
2024/07/06 12:45:44 UTC,312028496
2026/01/19 04:30:42 UTC,1081800964
2024/07/06 12:45:45 UTC,312028496
2026/01/19 08:24:03 UTC,1033310166
2024/07/06 12:45:45 UTC,312028496
2025/07/09 19:44:20 UTC,145111864
2024/07/06 12:45:45 UTC,312028496
2025/11/26 18:34:29 UTC,915383443
2024/07/06 12:45:45 UTC,312028496
2025/06/25 17:12:06 UTC,732042246
2024/07/06 12:45:48 UTC,312028496
2026/03/03 20:34:05 UTC,1299579786
2024/07/06 12:45:58 UTC,312028496
2024/08/28 08:49:50 UTC,145111864
2024/07/06 12:45:58 UTC,312028496
2024/07/17 22:03:15 UTC,145111864
2024/07/06 12:45:58 UTC,312028496
2025/01/05 14:45:26 UTC,567394573
2024/07/06 12:45:58 UTC,312028496
2024/06/06 08:25:34 UTC,312038286
2024/07/06 12:45:58 UTC,312028496
2024/06/06 08:25:36 UTC,312038286
2024/07/06 12:45:58 UTC,312028496
2024/06/06 07:54:51 UTC,312038286
2024/07/06 12:45:58 UTC,312028496
2024/06/06 07:54:52 UTC,312038286
2024/07/06 12:45:58 UTC,312028496
2024/09/28 08:41:59 UTC,490719394
2024/07/06 12:45:59 UTC,312028496
2024/09/28 08:41:59 UTC,490719394
2024/07/06 12:45:59 UTC,312028496
2024/09/28 08:41:59 UTC,490719394
2024/07/06 12:45:59 UTC,312028496
2024/09/28 08:41:59 UTC,490719394
2024/07/06 12:46:00 UTC,312028496
2024/09/28 08:41:59 UTC,490719394
2024/07/06 12:46:00 UTC,312028496
2024/09/28 08:42:01 UTC,490719394
2024/07/06 12:46:00 UTC,312028496
2024/09/28 08:42:02 UTC,490719394
2024/07/06 12:46:02 UTC,312028496
2024/09/28 08:42:03 UTC,490719394
2024/07/06 12:46:02 UTC,312028496
2024/09/28 08:42:03 UTC,490719394
2024/07/06 12:46:02 UTC,312028496
2024/09/28 08:42:03 UTC,490719394
2024/07/06 12:46:02 UTC,312028496
2024/08/06 18:21:33 UTC,192280506
2024/07/06 12:48:17 UTC,312028496
2024/08/06 18:21:39 UTC,192280506
2024/07/06 12:48:17 UTC,312028496
2024/08/06 18:21:39 UTC,192280506
2024/07/06 12:48:17 UTC,312028496
2024/08/06 18:21:39 UTC,192280506
2024/07/06 12:48:17 UTC,312028496
2024/08/06 18:21:39 UTC,192280506
2025/01/09 11:42:47 UTC,145111864
2024/08/06 18:21:45 UTC,192280506
2024/07/06 21:08:04 UTC,312028496
2026/03/05 06:09:52 UTC,145111864
2024/07/06 21:08:04 UTC,312028496
2024/07/08 14:31:53 UTC,312028496
2024/07/06 21:08:04 UTC,312028496
2024/07/08 14:31:53 UTC,312028496
2024/07/06 21:08:04 UTC,312028496
2026/05/14 14:48:58 UTC,447560993
2024/07/06 19:33:48 UTC,389444564
2026/05/11 14:28:33 UTC,1406355776
2024/12/23 15:59:52 UTC,547710673
2026/05/17 09:50:25 UTC,1404475776
2025/06/25 17:22:14 UTC,732042246
2026/05/13 07:41:51 UTC,1100390073
2026/05/09 13:01:57 UTC,1400292406
2026/05/06 17:33:21 UTC,1281784904
2026/05/06 15:48:29 UTC,1390161396
2026/05/06 11:35:41 UTC,145111864
2026/05/06 04:24:43 UTC,1371560606
2026/04/30 15:16:40 UTC,869512964
2026/04/28 08:54:52 UTC,1389470546
2026/04/23 09:35:01 UTC,1389470546
2026/04/22 19:59:57 UTC,1277199574
2026/04/21 09:39:16 UTC,1389615006
2026/04/20 11:46:36 UTC,145111864
2026/04/14 13:06:24 UTC,1216084203
2026/03/30 08:47:13 UTC,1193230593
2026/03/30 08:47:13 UTC,1193230593
2026/03/30 08:47:41 UTC,1193230593
2026/03/30 13:17:11 UTC,1198381383
2026/03/26 20:00:52 UTC,956987876
2026/03/07 06:49:39 UTC,145111864
2026/03/07 06:49:59 UTC,145111864
2026/03/07 07:13:17 UTC,1150313254
2025/11/25 09:07:27 UTC,969745203
2025/11/25 09:08:11 UTC,969745203
2025/11/25 09:08:13 UTC,969745203
2025/11/25 09:08:14 UTC,969745203
2025/11/26 00:03:18 UTC,969869983
2025/11/25 11:31:52 UTC,969997643
2024/07/02 11:34:22 UTC,145111864
2024/07/02 11:34:26 UTC,145111864
2025/05/02 16:36:08 UTC,145111864
2025/12/06 02:19:30 UTC,976944946
2024/06/11 18:45:19 UTC,455681926
2025/12/06 02:19:32 UTC,976944946
2024/12/31 09:55:28 UTC,549601244
2025/04/17 15:11:46 UTC,192280376
2024/06/04 17:17:09 UTC,423707643
2025/01/17 20:27:18 UTC,561909774
2024/09/03 03:29:16 UTC,466676574
2025/01/17 20:27:21 UTC,561909774
2024/09/03 03:29:16 UTC,466676574
2025/01/17 20:27:23 UTC,561909774
2024/09/03 03:29:16 UTC,466676574
2025/01/17 20:27:23 UTC,561909774
2024/09/03 03:29:16 UTC,466676574
2025/01/17 20:27:23 UTC,561909774
2024/09/03 03:29:17 UTC,466676574
2025/01/17 20:27:23 UTC,561909774
2024/09/03 03:29:17 UTC,466676574
2025/01/17 20:27:25 UTC,561909774
2024/09/03 03:29:18 UTC,466676574
2025/01/17 20:27:25 UTC,561909774
2024/09/03 03:29:23 UTC,466676574
2025/01/17 20:27:26 UTC,561909774
2024/09/03 03:29:23 UTC,466676574
2025/01/17 20:27:27 UTC,561909774
2024/09/03 03:29:23 UTC,466676574
2025/01/17 20:27:27 UTC,561909774
2024/09/03 03:29:23 UTC,466676574
2025/01/17 20:27:28 UTC,561909774
2024/09/03 03:29:29 UTC,466676574
2025/01/17 20:27:31 UTC,561909774
2024/09/03 03:29:30 UTC,466676574
2025/01/17 20:27:35 UTC,561909774
2024/09/03 03:29:30 UTC,466676574
2025/01/17 20:27:36 UTC,561909774
2024/09/03 03:29:30 UTC,466676574
2025/01/30 16:40:07 UTC,497194466
2024/09/03 03:29:40 UTC,466676574
2024/08/10 22:46:51 UTC,247415803
2024/11/09 11:06:54 UTC,528142013
2024/08/10 11:56:14 UTC,145111864
2025/11/16 09:02:04 UTC,239156346
2024/08/13 13:59:30 UTC,491914456
2025/11/16 09:03:02 UTC,239156346
2024/09/18 19:43:05 UTC,145111864
2025/01/18 15:49:19 UTC,572078463
2024/09/18 10:01:46 UTC,463108584
2025/01/29 17:56:29 UTC,520868084
2024/09/18 10:01:51 UTC,463108584
2026/03/11 06:09:53 UTC,1228513204
2025/09/28 13:02:46 UTC,813607423
2025/01/15 15:34:08 UTC,572078463
2026/03/16 05:55:51 UTC,1163986723
2025/02/26 11:30:02 UTC,192297566
2024/07/03 19:55:52 UTC,445241963
2025/06/10 11:08:40 UTC,427864244
2026/01/15 09:34:01 UTC,1081800964
2025/11/23 23:51:07 UTC,145111864
2026/01/15 09:28:16 UTC,1081800964
2025/01/04 11:49:31 UTC,145111864
2026/01/15 09:28:18 UTC,1081800964
2025/01/03 12:31:45 UTC,563818523
2024/07/05 10:54:59 UTC,457139206
2026/03/05 10:12:34 UTC,145111864
2024/12/24 14:24:10 UTC,145111864
2026/03/10 06:57:42 UTC,1150313254
2025/04/16 07:15:10 UTC,145111864
2024/10/25 08:04:08 UTC,506807526
2024/07/15 18:32:28 UTC,145111864
2025/12/12 20:09:57 UTC,914139644
2026/02/25 08:14:36 UTC,1144493434
2025/04/30 21:39:53 UTC,664070093
2026/02/25 08:14:45 UTC,1144493434
2026/03/14 07:35:47 UTC,1163986723
2026/02/25 08:14:47 UTC,1144493434
2026/03/14 10:18:38 UTC,145111864
2026/02/25 08:14:50 UTC,1144493434
2025/07/26 08:02:59 UTC,730851683
2026/02/25 08:15:05 UTC,1144493434
2025/07/26 08:03:12 UTC,730851683
2026/02/25 08:15:08 UTC,1144493434
2025/07/26 08:03:45 UTC,730851683
2024/12/19 09:21:24 UTC,531179823
2025/11/30 12:44:43 UTC,394534964
2024/12/19 09:21:26 UTC,531179823
2025/12/14 19:16:28 UTC,145111864
2024/12/19 09:21:26 UTC,531179823
2024/07/26 13:26:58 UTC,350963984
2024/12/19 09:21:26 UTC,531179823
2025/06/23 08:24:14 UTC,574214676
2025/02/12 12:26:55 UTC,576147484
2024/06/18 08:54:24 UTC,398830844
2025/02/12 12:26:57 UTC,576147484
2026/03/18 10:42:28 UTC,749615526
2025/02/12 12:26:58 UTC,576147484
2024/11/25 12:30:33 UTC,528142013
2025/02/12 12:26:58 UTC,576147484
2025/07/11 18:19:05 UTC,700056274
2025/02/12 12:27:00 UTC,576147484
2025/09/07 10:01:21 UTC,743082514
2025/02/12 12:27:01 UTC,576147484
2024/07/06 12:45:41 UTC,312028496
2025/01/23 09:05:10 UTC,145111864
2024/07/06 12:45:42 UTC,312028496
2026/01/19 04:30:40 UTC,1081800964
2024/07/06 12:45:43 UTC,312028496
2026/01/19 04:30:41 UTC,1081800964
2024/07/06 12:45:44 UTC,312028496
2026/01/19 04:30:42 UTC,1081800964
2024/07/06 12:45:45 UTC,312028496
2026/01/19 08:24:03 UTC,1033310166
2024/07/06 12:45:45 UTC,312028496
2025/07/09 19:44:20 UTC,145111864
2024/07/06 12:45:45 UTC,312028496
2025/11/26 18:34:29 UTC,915383443
2024/07/06 12:45:45 UTC,312028496
2025/06/25 17:12:06 UTC,732042246
2024/07/06 12:45:48 UTC,312028496
2026/03/03 20:34:05 UTC,1299579786
2024/07/06 12:45:58 UTC,312028496
2024/08/28 08:49:50 UTC,145111864
2024/07/06 12:45:58 UTC,312028496
2024/07/17 22:03:15 UTC,145111864
2024/07/06 12:45:58 UTC,312028496
2025/01/05 14:45:26 UTC,567394573
2024/07/06 12:45:58 UTC,312028496
2024/06/06 08:25:34 UTC,312038286
2024/07/06 12:45:58 UTC,312028496
2024/06/06 08:25:36 UTC,312038286
2024/07/06 12:45:58 UTC,312028496
2024/06/06 07:54:51 UTC,312038286
2024/07/06 12:45:58 UTC,312028496
2024/06/06 07:54:52 UTC,312038286
2024/07/06 12:45:58 UTC,312028496
2024/09/28 08:41:59 UTC,490719394
2024/07/06 12:45:59 UTC,312028496
2024/09/28 08:41:59 UTC,490719394
2024/07/06 12:45:59 UTC,312028496
2024/09/28 08:41:59 UTC,490719394
2024/07/06 12:45:59 UTC,312028496
2024/09/28 08:41:59 UTC,490719394
2024/07/06 12:46:00 UTC,312028496
2024/09/28 08:41:59 UTC,490719394
2024/07/06 12:46:00 UTC,312028496
2024/09/28 08:42:01 UTC,490719394
2024/07/06 12:46:00 UTC,312028496
2024/09/28 08:42:02 UTC,490719394
2024/07/06 12:46:02 UTC,312028496
2024/09/28 08:42:03 UTC,490719394
2024/07/06 12:46:02 UTC,312028496
2024/09/28 08:42:03 UTC,490719394
2024/07/06 12:46:02 UTC,312028496
2024/09/28 08:42:03 UTC,490719394
2024/07/06 12:46:02 UTC,312028496
2024/08/06 18:21:33 UTC,192280506
2024/07/06 12:48:17 UTC,312028496
2024/08/06 18:21:39 UTC,192280506
2024/07/06 12:48:17 UTC,312028496
2024/08/06 18:21:39 UTC,192280506
2024/07/06 12:48:17 UTC,312028496
2024/08/06 18:21:39 UTC,192280506
2024/07/06 12:48:17 UTC,312028496
2024/08/06 18:21:39 UTC,192280506
2025/01/09 11:42:47 UTC,145111864
2024/08/06 18:21:45 UTC,192280506
2024/07/06 21:08:04 UTC,312028496
2026/03/05 06:09:52 UTC,145111864
2024/07/06 21:08:04 UTC,312028496
2024/07/08 14:31:53 UTC,312028496
2024/07/06 21:08:04 UTC,312028496
2024/07/08 14:31:53 UTC,312028496
2024/07/06 21:08:04 UTC,312028496
2026/05/14 14:48:58 UTC,447560993
2024/07/06 19:33:48 UTC,389444564
2026/05/11 14:28:33 UTC,1406355776
2024/12/23 15:59:52 UTC,547710673
2026/05/17 09:50:25 UTC,1404475776
2025/06/25 17:22:14 UTC,732042246
2026/05/13 07:41:51 UTC,1100390073
2026/05/09 13:01:57 UTC,1400292406
2026/05/06 17:33:21 UTC,1281784904
2026/05/06 15:48:29 UTC,1390161396
2026/05/06 11:35:41 UTC,145111864
2026/05/06 04:24:43 UTC,1371560606
2026/04/30 15:16:40 UTC,869512964
2026/04/28 08:54:52 UTC,1389470546
2026/04/23 09:35:01 UTC,1389470546
2026/04/22 19:59:57 UTC,1277199574
2026/04/21 09:39:16 UTC,1389615006
2026/04/20 11:46:36 UTC,145111864
2026/04/14 13:06:24 UTC,1216084203
2026/03/30 08:47:13 UTC,1193230593
2026/03/30 08:47:13 UTC,1193230593
2026/03/30 08:47:41 UTC,1193230593
2026/03/30 13:17:11 UTC,1198381383
2026/03/26 20:00:52 UTC,956987876
2026/03/07 06:49:39 UTC,145111864
2026/03/07 06:49:59 UTC,145111864
2026/03/07 07:13:17 UTC,1150313254
2025/11/25 09:07:27 UTC,969745203
2025/11/25 09:08:11 UTC,969745203
2025/11/25 09:08:13 UTC,969745203
2025/11/25 09:08:14 UTC,969745203
2025/11/26 00:03:18 UTC,969869983
2025/11/25 11:31:52 UTC,969997643
2024/07/02 11:34:22 UTC,145111864
2024/07/02 11:34:26 UTC,145111864
2025/05/02 16:36:08 UTC,145111864
2025/12/06 02:19:30 UTC,976944946
2024/06/11 18:45:19 UTC,455681926
2025/12/06 02:19:32 UTC,976944946
2024/12/31 09:55:28 UTC,549601244
2025/04/17 15:11:46 UTC,192280376
2024/06/04 17:17:09 UTC,423707643
2025/01/17 20:27:18 UTC,561909774
2024/09/03 03:29:16 UTC,466676574
2025/01/17 20:27:21 UTC,561909774
2024/09/03 03:29:16 UTC,466676574
2025/01/17 20:27:23 UTC,561909774
2024/09/03 03:29:16 UTC,466676574
2025/01/17 20:27:23 UTC,561909774
2024/09/03 03:29:16 UTC,466676574
2025/01/17 20:27:23 UTC,561909774
2024/09/03 03:29:17 UTC,466676574
2025/01/17 20:27:23 UTC,561909774
2024/09/03 03:29:17 UTC,466676574
2025/01/17 20:27:25 UTC,561909774
2024/09/03 03:29:18 UTC,466676574
2025/01/17 20:27:25 UTC,561909774
2024/09/03 03:29:23 UTC,466676574
2025/01/17 20:27:26 UTC,561909774
2024/09/03 03:29:23 UTC,466676574
2025/01/17 20:27:27 UTC,561909774
2024/09/03 03:29:23 UTC,466676574
2025/01/17 20:27:27 UTC,561909774
2024/09/03 03:29:23 UTC,466676574
2025/01/17 20:27:28 UTC,561909774
2024/09/03 03:29:29 UTC,466676574
2025/01/17 20:27:31 UTC,561909774
2024/09/03 03:29:30 UTC,466676574
2025/01/17 20:27:35 UTC,561909774
2024/09/03 03:29:30 UTC,466676574
2025/01/17 20:27:36 UTC,561909774
2024/09/03 03:29:30 UTC,466676574
2025/01/30 16:40:07 UTC,497194466
2024/09/03 03:29:40 UTC,466676574
2024/08/10 22:46:51 UTC,247415803
2024/11/09 11:06:54 UTC,528142013
2024/08/10 11:56:14 UTC,145111864
